INS_HCC46,                                    0.638
INS_HCC47,                                    0.436
INS_HCC48,                                    0.197
INS_HCC51,                                    0
INS_HCC52,                                    0
INS_HCC54,                                    0.051
INS_HCC55,                                    0.051
INS_HCC57,                                    0.274
INS_HCC58,                                    0.274
INS_HCC70,                                    0.497
INS_HCC71,                                    0.497
INS_HCC72,                                    0.191
INS_HCC73,                                    0.294
INS_HCC74,                                    0
INS_HCC75,                                    0.256
INS_HCC76,                                    0.247
INS_HCC77,                                    0
INS_HCC78,                                    0.11
INS_HCC79,                                    0.173
INS_HCC80,                                    0.103
INS_HCC82,                                    1.567
INS_HCC83,                                    0.611
INS_HCC84,                                    0.346
INS_HCC85,                                    0.226
INS_HCC86,                                    0.394
INS_HCC87,                                    0.394
INS_HCC88,                                    0.366
INS_HCC96,                                    0.227
INS_HCC99,                                    0.175
INS_HCC100,                                   0.175
INS_HCC103,                                   0.063
INS_HCC104,                                   0.063
INS_HCC106,                                   0.773
INS_HCC107,                                   0.257
INS_HCC108,                                   0.146
INS_HCC110,                                   0.323
INS_HCC111,                                   0.323
INS_HCC112,                                   0.252
INS_HCC114,                                   0.239
INS_HCC115,                                   0.194
INS_HCC122,                                   0.366
INS_HCC124,                                   0.178
INS_HCC134,                                   0.538
INS_HCC135,                                   0.538
INS_HCC136,                                   0.304
INS_HCC137,                                   0.304
INS_HCC138,                                   0.304
INS_HCC139,                                   0.304
INS_HCC140,                                   0.304
INS_HCC141,                                   0.235
INS_HCC157,                                   0.284
INS_HCC158,                                   0.284
INS_HCC160,                                   0.284
INS_HCC161,                                   0.226
INS_HCC162,                                   0
INS_HCC166,                                   0.103
INS_HCC167,                                   0
INS_HCC169,                                   0.179
INS_HCC170,                                   0
INS_HCC173,                                   0.067
INS_HCC176,                                   0.369
INS_HCC186,                                   1.12
INS_HCC188,                                   0.658
INS_HCC189,                                   0.384
INS_CHF_COPD,                                 0.159
INS_COPD_CARD_RESP_FAIL,                      0.524
INS_SEPSIS_PRESSURE_ULCER,                    0.538
INS_SEPSIS_ARTIF_OPENINGS,                    0.453
INS_ART_OPENINGS_PRESSURE_ULCER,              0.361
INS_DIABETES_CHF,                             0.143
INS_COPD_ASP_SPEC_BACT_PNEUM,                 0.249
INS_ASP_SPEC_BACT_PNEUM_PRES_ULC,             0.325
INS_SEPSIS_ASP_SPEC_BACT_PNEUM,               0.387
INS_SCHIZOPHRENIA_COPD,                       0.187
INS_SCHIZOPHRENIA_CHF,                        0.22
INS_SCHIZOPHRENIA_SEIZURES,                   0.303
INS_DISABLED_HCC85,                           0.32
INS_DISABLED_PRESSURE_ULCER,                  0.421
INS_DISABLED_HCC161,                          0.337
INS_DISABLED_HCC39,                           0.624
INS_DISABLED_HCC77,                           0.344
INS_DISABLED_HCC6,                            0.914
INS_HCC159,                                   0.284
NE_NEF0_34,                                   0.453
NE_NEF35_44,                                  0.601
NE_NEF45_54,                                  0.81
NE_NEF55_59,                                  0.977
NE_NEF60_64,                                  1.082
NE_NEF65,                                     0.501
NE_NEF66,                                     0.543
NE_NEF67,                                     0.579
NE_NEF68,                                     0.598
NE_NEF69,                                     0.624
NE_NEF70_74,                                  0.737
NE_NEF75_79,                                  0.941
NE_NEF80_84,                                  1.116
NE_NEF85_89,                                  1.28
NE_NEF90_94,                                  1.372
NE_NEF95_GT,                                  1.247
NE_NEM0_34,                                   0.243
NE_NEM35_44,                                  0.45
NE_NEM45_54,                                  0.633
NE_NEM55_59,                                  0.825
NE_NEM60_64,                                  0.956
NE_NEM65,                                     0.542
NE_NEM66,                                     0.601
NE_NEM67,                                     0.631
NE_NEM68,                                     0.659
NE_NEM69,                                     0.68
NE_NEM70_74,                                  0.818
NE_NEM75_79,                                  1.056
NE_NEM80_84,                                  1.275
NE_NEM85_89,                                  1.446
NE_NEM90_94,                                  1.622
NE_NEM95_GT,                                  1.689
NE_MCAID_FEMALE0_64,                          0.331
NE_MCAID_FEMALE65,                            0.513
NE_MCAID_FEMALE66_69,                         0.474
NE_MCAID_FEMALE70_74,                         0.497
NE_MCAID_FEMALE75_GT,                         0.425
NE_MCAID_MALE0_64,                            0.419
NE_MCAID_MALE65,                              0.554
